Season,TeamName,eFGPct_Off,RankeFGPct_Off,TOPct_Off,RankTOPct_Off,ORPct_Off,RankORPct_Off,FTRate_Off,RankFTRate_Off
2023,Butler,49.49066214,228,17.61367267,138,19.9807877,354,25.9196378,334
2023,Cal Baptist,49.02467011,255,18.05582666,170,28.94499549,166,31.55479059,169
2023,Cal Poly,45.73474471,343,20.85130414,327,24.48579824,305,30.94645081,197
2023,Cal St. Bakersfield,44.57246816,356,19.90660942,296,27.48538012,217,29.41176471,241
2023,Cal St. Fullerton,49.43586698,229,17.44558738,121,25.92242195,258,38.71733967,29
2023,Cal St. Northridge,44.10288582,358,19.61294912,281,27.31614136,223,36.63739021,48
2023,California,43.68358914,361,20.1099537,305,25.34184139,275,31.52302243,171
2023,Campbell,52.66946611,66,18.05288447,169,24.37059416,309,37.97240552,33
2023,Canisius,48.65097589,273,17.44138831,120,28.35394862,189,24.8564868,343
2023,Central Arkansas,47.10182768,323,18.10704257,176,27.94612795,203,24.33420366,347
2023,Central Connecticut,48.05229456,295,17.87415186,154,28.47100176,187,23.31910352,356
2023,Central Michigan,46.51015228,330,22.90143134,356,30.45586809,118,36.86548223,44
2023,Charleston,51.09864423,148,16.66718236,72,34.63302752,18,32.7255727,128
2023,Charleston Southern,50.26564345,194,18.06161131,171,32.2265625,60,27.4498229,305
2023,Charlotte,55.07749866,16,16.95554717,89,22.2972973,340,24.85301978,344
2023,Chattanooga,53.9445049,32,17.49000329,128,27.38853503,218,31.99129489,157
2023,Chicago St.,48.75588433,268,21.32764596,339,33.47685684,32,31.94351042,160
2023,Cincinnati,51.28552097,134,15.1670716,21,30.76923077,104,25.71041949,337
2023,Clemson,54.08216329,30,16.13301153,49,23.39832869,327,30.47321893,212
2023,Cleveland St.,49.37059416,234,17.2428234,103,34.88964346,15,29.70795569,231
2023,Coastal Carolina,47.45356501,313,17.75132617,145,30.28798411,123,28.8795686,265
2023,Colgate,58.20591233,1,15.03287087,17,25.16619183,284,27.37003058,308
